date,temp,skt,dir,vel,hr,prec,pres,temp_jci,skt_jci,dir_jci,vel_jci,hr_jci,prec_jci,pres_jci
2005-01-20 18:00:00+00:00,4.9,4.4,68.0,11.0,74.0,0.0,980.0,1,1,1,1,1,1,1
2005-01-20 21:00:00+00:00,4.4,4.1,69.0,9.0,74.0,0.0,977.1,1,1,1,1,1,1,1
2005-01-21 00:00:00+00:00,4.9,4.5,63.0,11.8,66.0,0.0,976.5,1,1,1,1,1,1,1
2005-01-21 03:00:00+00:00,4.5,4.0,136.0,3.7,66.0,0.0,977.8,1,1,1,1,1,1,1
2005-01-21 06:00:00+00:00,3.1,2.5,67.0,9.6,72.0,0.0,979.6,1,1,1,1,1,1,1
2005-01-21 09:00:00+00:00,3.5,3.0,78.0,8.8,68.0,0.0,981.8,1,1,1,1,1,1,1
2005-01-21 12:00:00+00:00,6.5,6.0,65.0,3.8,62.0,0.0,983.0,1,1,1,1,1,1,1
2005-01-21 15:00:00+00:00,7.4,7.3,49.0,5.7,66.0,0.0,982.7,1,1,1,1,1,1,1
2005-01-21 18:00:00+00:00,7.3,7.2,55.0,6.6,66.0,0.0,982.3,1,1,1,1,1,1,1
2005-01-21 21:00:00+00:00,6.7,6.4,73.0,6.6,68.0,0.0,979.9,1,1,1,1,1,1,1
2005-01-22 00:00:00+00:00,4.8,4.2,69.0,7.1,74.0,0.0,977.1,1,1,1,1,1,1,1
2005-01-22 03:00:00+00:00,4.3,3.9,65.0,9.6,77.0,0.0,973.9,1,1,1,1,1,1,1
2005-01-22 06:00:00+00:00,3.6,3.2,88.0,6.9,70.0,0.0,972.4,1,1,1,1,1,1,1
2005-01-22 09:00:00+00:00,4.3,4.0,71.0,6.6,64.0,0.0,972.3,1,1,1,1,1,1,1
2005-01-22 12:00:00+00:00,4.8,4.1,73.0,7.2,63.0,0.0,972.6,1,1,1,1,1,1,1
2005-01-22 15:00:00+00:00,4.2,3.9,70.0,9.5,64.0,0.0,972.9,1,1,1,1,1,1,1
2005-01-22 18:00:00+00:00,4.4,4.3,38.0,3.8,68.0,0.0,975.2,1,1,1,1,1,1,1
2005-01-22 21:00:00+00:00,2.6,2.6,345.0,3.7,84.0,0.0,976.8,1,1,1,1,1,1,1
2005-01-23 00:00:00+00:00,2.5,2.1,68.0,1.8,89.0,0.0,978.3,1,1,1,1,1,1,1
2005-01-23 03:00:00+00:00,2.2,1.2,,0.0,85.0,0.0,978.8,1,1,1,1,1,1,1
2005-01-23 06:00:00+00:00,3.1,2.6,119.0,4.0,74.0,0.0,978.5,1,1,1,1,1,1,1
2005-01-23 09:00:00+00:00,2.4,2.0,119.0,5.6,74.0,0.0,978.5,1,1,1,1,1,1,1
2005-01-23 12:00:00+00:00,2.9,2.4,125.0,7.0,71.0,0.0,979.0,1,1,1,1,1,1,1
2005-01-23 15:00:00+00:00,4.5,4.0,64.0,11.2,61.0,0.0,979.9,1,1,1,1,1,1,1
2005-01-23 18:00:00+00:00,4.4,4.2,75.0,7.5,59.0,0.0,981.1,1,1,1,1,1,1,1
2005-01-23 21:00:00+00:00,2.7,2.5,79.0,6.7,63.0,0.0,982.9,1,1,1,1,1,1,1
